PathwayStep1	BiochemicalReaction1	
PathwayStep10	BiochemicalReaction10	
PathwayStep10	Catalysis9	
PathwayStep11	BiochemicalReaction11	
PathwayStep11	Catalysis10	
PathwayStep12	BiochemicalReaction12	
PathwayStep12	Catalysis11	
PathwayStep13	BiochemicalReaction13	
PathwayStep13	Catalysis12	
PathwayStep13	Control1	
PathwayStep14	BiochemicalReaction14	
PathwayStep14	Catalysis13	
PathwayStep2	BiochemicalReaction2	
PathwayStep2	Catalysis1	
PathwayStep3	BiochemicalReaction3	
PathwayStep3	Catalysis2	
PathwayStep4	BiochemicalReaction4	
PathwayStep4	Catalysis3	
PathwayStep5	BiochemicalReaction5	
PathwayStep5	Catalysis4	
PathwayStep6	BiochemicalReaction6	
PathwayStep6	Catalysis5	
PathwayStep7	BiochemicalReaction7	
PathwayStep7	Catalysis6	
PathwayStep8	BiochemicalReaction8	
PathwayStep8	Catalysis7	
PathwayStep9	BiochemicalReaction9	
PathwayStep9	Catalysis8	
