Control1	Complex7	BiochemicalReaction4	ACTIVATION	
Control2	Complex4	BiochemicalReaction4	ACTIVATION	
Control3	Complex10	BiochemicalReaction5	ACTIVATION	
Control4	Protein39	BiochemicalReaction5	ACTIVATION	
Control5	Complex4	BiochemicalReaction5	ACTIVATION	
Control6	Complex18	BiochemicalReaction6	ACTIVATION	
Control7	Complex4	BiochemicalReaction6	ACTIVATION	
Control8	Complex4	BiochemicalReaction7	ACTIVATION	
Control9	Complex20	BiochemicalReaction7	ACTIVATION	
TemplateReactionRegulation1	Complex4	TemplateReaction1	ACTIVATION	
TemplateReactionRegulation10	Complex4	TemplateReaction8	ACTIVATION	
TemplateReactionRegulation11	Complex4	TemplateReaction9	ACTIVATION	
TemplateReactionRegulation12	Complex4	TemplateReaction10	ACTIVATION	
TemplateReactionRegulation13	Complex4	TemplateReaction11	ACTIVATION	
TemplateReactionRegulation14	Complex11	TemplateReaction12	ACTIVATION	
TemplateReactionRegulation15	Complex4	TemplateReaction12	ACTIVATION	
TemplateReactionRegulation16	Complex15	TemplateReaction13	ACTIVATION	
TemplateReactionRegulation17	Complex4	TemplateReaction13	ACTIVATION	
TemplateReactionRegulation18	Complex4	TemplateReaction14	ACTIVATION	
TemplateReactionRegulation19	Complex16	TemplateReaction15	ACTIVATION	
TemplateReactionRegulation2	Complex4	TemplateReaction2	ACTIVATION	
TemplateReactionRegulation20	Complex17	TemplateReaction15	ACTIVATION	
TemplateReactionRegulation21	Complex4	TemplateReaction15	ACTIVATION	
TemplateReactionRegulation22	Complex4	TemplateReaction16	ACTIVATION	
TemplateReactionRegulation23	Complex4	TemplateReaction17	ACTIVATION	
TemplateReactionRegulation24	Complex4	TemplateReaction18	ACTIVATION	
TemplateReactionRegulation25	Complex4	TemplateReaction19	ACTIVATION	
TemplateReactionRegulation26	Complex4	TemplateReaction20	ACTIVATION	
TemplateReactionRegulation27	Complex4	TemplateReaction21	ACTIVATION	
TemplateReactionRegulation28	Complex4	TemplateReaction22	ACTIVATION	
TemplateReactionRegulation29	Complex4	TemplateReaction23	ACTIVATION	
TemplateReactionRegulation3	Complex4	TemplateReaction3	ACTIVATION	
TemplateReactionRegulation30	Complex4	TemplateReaction24	ACTIVATION	
TemplateReactionRegulation31	Complex4	TemplateReaction25	ACTIVATION	
TemplateReactionRegulation32	Complex4	TemplateReaction26	ACTIVATION	
TemplateReactionRegulation33	Complex4	TemplateReaction27	ACTIVATION	
TemplateReactionRegulation34	Complex15	TemplateReaction28	ACTIVATION	
TemplateReactionRegulation35	Complex4	TemplateReaction28	ACTIVATION	
TemplateReactionRegulation36	Complex21	TemplateReaction28	INHIBITION	
TemplateReactionRegulation37	Complex4	TemplateReaction29	ACTIVATION	
TemplateReactionRegulation38	Complex4	TemplateReaction30	ACTIVATION	
TemplateReactionRegulation39	Complex23	TemplateReaction31	ACTIVATION	
TemplateReactionRegulation4	Complex4	TemplateReaction4	ACTIVATION	
TemplateReactionRegulation40	Complex4	TemplateReaction31	ACTIVATION	
TemplateReactionRegulation41	Complex4	TemplateReaction32	ACTIVATION	
TemplateReactionRegulation42	Complex4	TemplateReaction33	ACTIVATION	
TemplateReactionRegulation43	Complex4	TemplateReaction34	ACTIVATION	
TemplateReactionRegulation44	Complex4	TemplateReaction35	ACTIVATION	
TemplateReactionRegulation45	Complex4	TemplateReaction36	ACTIVATION	
TemplateReactionRegulation46	Complex4	TemplateReaction37	ACTIVATION	
TemplateReactionRegulation47	Complex4	TemplateReaction38	ACTIVATION	
TemplateReactionRegulation5	Complex4	TemplateReaction5	ACTIVATION	
TemplateReactionRegulation6	Complex4	TemplateReaction5	ACTIVATION	
TemplateReactionRegulation7	Complex4	TemplateReaction6	ACTIVATION	
TemplateReactionRegulation8	Complex4	TemplateReaction7	ACTIVATION	
TemplateReactionRegulation9	Complex11	TemplateReaction7	ACTIVATION	
