Protein1	NGF	UniProt:P01138 NGF	Reactome DB_ID: 167034	extracellular region	
Protein10	ARHGEF17	UniProt:Q96PE2 ARHGEF17	Reactome DB_ID: 194925	cytosol	
Protein100	YWHAE	UniProt:P62258 YWHAE	Reactome DB_ID: 194368	cytosol	
Protein11	FGD1	UniProt:P98174 FGD1	Reactome DB_ID: 194935	cytosol	
Protein12	VAV1	UniProt:P15498 VAV1	Reactome DB_ID: 195066	cytosol	
Protein13	VAV2	UniProt:P52735 VAV2	Reactome DB_ID: 195012	cytosol	
Protein14	VAV3	UniProt:Q9UKW4 VAV3	Reactome DB_ID: 430152	cytosol	
Protein15	Cool-2	UniProt:Q15052 ARHGEF6	Reactome DB_ID: 195017	cytosol	
Protein16	PLEKHG2	UniProt:Q9H7P9 PLEKHG2	Reactome DB_ID: 195043	cytosol	
Protein17	ARHGEF9	UniProt:O43307 ARHGEF9	Reactome DB_ID: 195067	cytosol	
Protein18	TIAM2	UniProt:Q8IVF5 TIAM2	Reactome DB_ID: 561165	cytosol	
Protein19	TIAM1	UniProt:Q13009 TIAM1	Reactome DB_ID: 195013	cytosol	
Protein2	NGFR	UniProt:P08138 NGFR	Reactome DB_ID: 193664	plasma membrane	
Protein20	TRIO	UniProt:O75962 TRIO	Reactome DB_ID: 2980605	cytosol	
Protein21	Ost	UniProt:O15068 MCF2L	Reactome DB_ID: 195070	cytosol	
Protein22	ECT2	UniProt:Q9H8V3 ECT2	Reactome DB_ID: 195036	cytosol	
Protein23	PLEKHG5	UniProt:O94827 PLEKHG5	Reactome DB_ID: 195060	cytosol	
Protein24	ARHGAP4	UniProt:P98171 ARHGAP4	Reactome DB_ID: 195112	cytosol	
Protein25	Gef-h1	UniProt:Q92974 ARHGEF2	Reactome DB_ID: 195101	cytosol	
Protein26	ARHGEF11	UniProt:O15085 ARHGEF11	Reactome DB_ID: 195102	cytosol	
Protein27	SOS1	UniProt:Q07889 SOS1	Reactome DB_ID: 64847	cytosol	
Protein28	SOS2	UniProt:Q07890 SOS2	Reactome DB_ID: 167221	cytosol	
Protein29	ARHGEF18	UniProt:Q6ZSZ5 ARHGEF18	Reactome DB_ID: 195104	cytosol	
Protein3	NRAGE	UniProt:Q9Y5V3 MAGED1	Reactome DB_ID: 196002	cytosol	
Protein30	ABR	UniProt:Q12979 ABR	Reactome DB_ID: 2975963	cytosol	
Protein31	AKAP13	UniProt:Q12802 AKAP13	Reactome DB_ID: 2975983	cytosol	
Protein32	ARHGEF3	UniProt:Q9NR81 ARHGEF3	Reactome DB_ID: 2976629	cytosol	
Protein33	ARHGEF4	UniProt:Q9NR80 ARHGEF4	Reactome DB_ID: 2976635	cytosol	
Protein34	PIX	UniProt:Q14155 ARHGEF7	Reactome DB_ID: 430346	cytosol	
Protein35	LARG	UniProt:Q9NZN5 ARHGEF12	Reactome DB_ID: 416560	cytosol	
Protein36	NBR	UniProt:Q5VV41 ARHGEF16	Reactome DB_ID: 2976623	cytosol	
Protein37	FGD2	UniProt:Q7Z6J4 FGD2	Reactome DB_ID: 3000203	cytosol	
Protein38	FGD3	UniProt:Q5JSP0 FGD3	Reactome DB_ID: 3000205	cytosol	
Protein39	FGD4	UniProt:Q96M96 FGD4	Reactome DB_ID: 3000215	cytosol	
Protein4	AATF	UniProt:Q9NY61 AATF	Reactome DB_ID: 205071	cytosol	
Protein40	ITSN1	UniProt:Q15811 ITSN1	Reactome DB_ID: 3006481	cytosol	
Protein41	KALRN	UniProt:O60229 KALRN	Reactome DB_ID: 3006505	cytosol	
Protein42	MCF2	UniProt:P10911 MCF2	Reactome DB_ID: 3006639	cytosol	
Protein43	NET1	UniProt:Q7Z628 NET1	Reactome DB_ID: 3006799	cytosol	
Protein44	NGEF	UniProt:Q8N5V2 NGEF	Reactome DB_ID: 3006800	cytosol	
Protein45	OBSCN	UniProt:Q5VST9 OBSCN	Reactome DB_ID: 3008877	cytosol	
Protein46	BIM	UniProt:O43521 BCL2L11	Reactome DB_ID: 2976673	cytosol	
Protein47	BAD	UniProt:Q92934 BAD	Reactome DB_ID: 50662	cytosol	
Protein48	p-S128-BAD	UniProt:Q92934 BAD	Reactome DB_ID: 217297	cytosol	
Protein49	BCL2L11	UniProt:O43521 BCL2L11	Reactome DB_ID: 2976671	cytosol	
Protein5	JNK1	UniProt:P45983 MAPK8	Reactome DB_ID: 168141	cytosol	
Protein50	p-T,Y-JNK1	UniProt:P45983 MAPK8	Reactome DB_ID: 216349	nucleoplasm	
Protein51	NRIF	UniProt:Q13352 ITGB3BP	Reactome DB_ID: 3006405	cytosol	
Protein52	TRAF6	UniProt:Q9Y4K3 TRAF6	Reactome DB_ID: 166366	cytosol	
Protein54	APH1B	UniProt:Q8WW43 APH1B	Reactome DB_ID: 157340	plasma membrane	
Protein55	APH1A	UniProt:Q96BI3 APH1A	Reactome DB_ID: 3211581	plasma membrane	
Protein56	PEN-2	UniProt:Q9NZ42 PSENEN	Reactome DB_ID: 157331	plasma membrane	
Protein57	PSEN2	UniProt:P49810 PSEN2	Reactome DB_ID: 201599	plasma membrane	
Protein58	NCSTN	UniProt:Q92542 NCSTN	Reactome DB_ID: 2534241	plasma membrane	
Protein6	p-T,Y-JNK1	UniProt:P45983 MAPK8	Reactome DB_ID: 194371	cytosol	
Protein60	RPS27A	UniProt:P62979 RPS27A	Reactome DB_ID: 939205	cytosol	
Protein61	UBA52	UniProt:P62987 UBA52	Reactome DB_ID: 939203	cytosol	
Protein62	UBB	UniProt:P0CG47 UBB	Reactome DB_ID: 939214	cytosol	
Protein63	UBB(77-152)	UniProt:P0CG47 UBB	Reactome DB_ID: 939213	cytosol	
Protein64	UBB(153-228)	UniProt:P0CG47 UBB	Reactome DB_ID: 939230	cytosol	
Protein65	UBC	UniProt:P0CG48 UBC	Reactome DB_ID: 939188	cytosol	
Protein66	UBC(77-152)	UniProt:P0CG48 UBC	Reactome DB_ID: 939164	cytosol	
Protein67	UBC(153-228)	UniProt:P0CG48 UBC	Reactome DB_ID: 939258	cytosol	
Protein68	UBC(229-304)	UniProt:P0CG48 UBC	Reactome DB_ID: 939192	cytosol	
