Complex1	PCNA homotrimer	nucleoplasm	Reactome DB_ID: 68440	Protein1	
Complex2	DNA Polymerase delta tetramer	nucleoplasm	Reactome DB_ID: 68450	Protein2	
Complex2	DNA Polymerase delta tetramer	nucleoplasm	Reactome DB_ID: 68450	Protein3	
Complex2	DNA Polymerase delta tetramer	nucleoplasm	Reactome DB_ID: 68450	Protein4	
Complex2	DNA Polymerase delta tetramer	nucleoplasm	Reactome DB_ID: 68450	Protein5	
Complex3	RFC Heteropentamer	nucleoplasm	Reactome DB_ID: 68436	Protein6	
Complex3	RFC Heteropentamer	nucleoplasm	Reactome DB_ID: 68436	Protein7	
Complex3	RFC Heteropentamer	nucleoplasm	Reactome DB_ID: 68436	Protein8	
Complex3	RFC Heteropentamer	nucleoplasm	Reactome DB_ID: 68436	Protein9	
Complex3	RFC Heteropentamer	nucleoplasm	Reactome DB_ID: 68436	Protein10	
Complex4	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein11	
Complex4	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein12	
Complex4	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein13	
Complex5	DNA polymerase epsilon	nucleoplasm	Reactome DB_ID: 68483	Protein14	
Complex5	DNA polymerase epsilon	nucleoplasm	Reactome DB_ID: 68483	Protein15	
