PhysicalEntity1	Mature intronless transcript derived mRNA	nucleoplasm	Reactome DB_ID: 158444	NA	
PhysicalEntity2	capped pre-mRNA	nucleoplasm	Reactome DB_ID: 72085	NA	
PhysicalEntity3	Mature intronless transcript derived mRNA with m7G cap removed	nucleoplasm	Reactome DB_ID: 193039	NA	
PhysicalEntity4	Influenza H1N1 cRNA (extending)	nucleoplasm	Reactome DB_ID: 193303	NA	
PhysicalEntity5	Influenza cRNA (complete)	nucleoplasm	Reactome DB_ID: 192638	NA	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna2	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna3	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna4	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna5	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna6	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna7	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna8	
Rna1	vRNA (genomic)	nucleoplasm	Reactome DB_ID: 192849	Rna9	
Rna10	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna11	
Rna10	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna12	
Rna10	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna13	
Rna10	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna14	
Rna10	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna15	
Rna10	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna16	
Rna10	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna17	
Rna10	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna18	
Rna10	Elongating viral mRNA	nucleoplasm	Reactome DB_ID: 192984	Rna19	
Rna20	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna11	
Rna20	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna12	
Rna20	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna13	
Rna20	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna14	
Rna20	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna15	
Rna20	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna16	
Rna20	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna17	
Rna20	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna18	
Rna20	viral mRNA	nucleoplasm	Reactome DB_ID: 192988	Rna19	
Rna23	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna24	
Rna23	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna25	
Rna23	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna22	
Rna23	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna26	
Rna23	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna27	
Rna23	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna28	
Rna23	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna21	
Rna23	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna29	
Rna23	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna30	
Rna23	viral mRNA	cytosol	Reactome DB_ID: 192803	Rna31	
SmallMolecule2	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule3	
SmallMolecule2	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule4	
SmallMolecule2	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule5	
SmallMolecule2	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule6	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule8	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule9	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule10	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule11	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule12	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule13	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule14	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule15	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule16	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule17	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule18	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule19	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule20	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule21	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule22	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule23	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule24	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule25	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule26	
SmallMolecule7	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule27	
